Algorithm,Parameters,Dataset,Fold,Description,Precision,Recall,F-measure,AUC,G-mean
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 1000, 'stop_probability': 0.0, 'classifier': 'CART', 'gamma': 0.1}",pima,3,Preliminary,0.522876,0.597015,0.557491,0.652507,0.650143
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 1000, 'stop_probability': 0.0, 'classifier': 'NB', 'gamma': 0.1}",pima,2,Preliminary,0.637037,0.641791,0.639405,0.722896,0.718331
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 1000, 'stop_probability': 0.0, 'classifier': 'KNN', 'gamma': 0.01}",pima,3,Preliminary,0.545455,0.626866,0.583333,0.673433,0.671821
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 1000, 'stop_probability': 0.0, 'classifier': 'CART', 'gamma': 0.01}",pima,3,Preliminary,0.572368,0.649254,0.608392,0.694627,0.693143
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 1000, 'stop_probability': 0.0, 'classifier': 'SVM', 'gamma': 0.001}",pima,3,Preliminary,0.598639,0.656716,0.626335,0.710358,0.70833
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 1000, 'stop_probability': 0.0, 'classifier': 'SVM', 'gamma': 1.0}",pima,3,Preliminary,0.594406,0.634328,0.613718,0.701164,0.697971
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 1000, 'stop_probability': 0.0, 'classifier': 'CART', 'gamma': 1.0}",pima,3,Preliminary,0.577465,0.61194,0.594203,0.68597,0.681964
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 1000, 'stop_probability': 0.0, 'classifier': 'SVM', 'gamma': 0.01}",pima,3,Preliminary,0.622378,0.664179,0.642599,0.72409,0.721607
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 1000, 'stop_probability': 0.0, 'classifier': 'NB', 'gamma': 10.0}",pima,3,Preliminary,0.646617,0.641791,0.644195,0.726896,0.721896
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 1000, 'stop_probability': 0.0, 'classifier': 'SVM', 'gamma': 0.1}",pima,3,Preliminary,0.601351,0.664179,0.631206,0.71409,0.712343
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 1000, 'stop_probability': 0.0, 'classifier': 'NB', 'gamma': 0.01}",pima,2,Preliminary,0.637681,0.656716,0.647059,0.728358,0.724826
